Row #,apc_2012_2013_results.csv PMCID,processed_apc_2012_2013.csv PMCID,apc_2012_2013.csv PMCID,apc_2012_2013.csv PMID,apc_2012_2013.csv DOI,apc_2012_2013.csv Article title
13,TRUE,False,PMC3757918,,10.1177/0952695113484320,How autism became autism: the radical transformation of a central concept of child development in Britain
14,FALSE,True,not available,,10.1177/0265691413479085,Images and Meaning - Making in a World of Resemblance: The Bavarian-Saxon Kidney Stone Affair of 1580.
19,FALSE,True,PMC3566749,,10.1017/mdh.2012.81,"I've Never Found Doctors to be a Difficult Bunch': Doctors, Managers and NHS Reorganisations in Manchester and Salford, 1948-2007"
24,FALSE,True,none,,10.1017/S0001972013000442,"Stuck in ruins, or up and coming?"
25,FALSE,True,none,,10.1017/S0001972013000454,"Pharmacy, money and public health in Dakar."
27,TRUE,False,PMC3948080,23158229,10.1017/S1355617712000768,Effects of Maternal Worm Infections and Anthelminthic Treatment during Pregnancy on Infant Motor and Neurocognitive Functioning
30,FALSE,True,none,20146481,10.1021/jm901827x,Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives
48,TRUE,False,PMC3536734,,10.4161/chan.22153,State-independent intracellular access of quatemary ammonium blockers to the pore of TREK-1
52,TRUE,False,PMC3633361,,10.1093/alcalc/agt006,Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems
75,TRUE,False,PMC3397896,,10.1074/jbc.M112.377101,Annexin A1 Interaction with the FPR2/ALX Receptor
77,TRUE,False,PMC3137072,,10.1074/jbc.M111.242263,"Characterisation of GAS2-like 3, a new microtubule and actin-binding protein related to spectraplakins"
78,TRUE,False,PMC3522295,,10.1074/jbc.M112.386938,Constitutional mutations in RTEL1 cause severe dyskeratosis congenita
80,TRUE,False,PMC3581401,,10.1074/jbc.M112.416347,Molecular Architecture of a Complex between an Adhesion Protein from the Malaria Parasite and Intracellular Adhesion Molecule 1
84,TRUE,False,PMC3561585,,10.1074/jbc.M112.415372,Distinct roles in autophagy and importance in infectivity of the two ATG4 cysteine peptidases of Leishmania major
86,TRUE,False,PMC3493908,,10.1074/jbc.M112.373969,Dynamic exchange of myosin VI on endocytic structures
87,TRUE,False,PMC3531760,,10.1074/jbc.M112.422402,Contrasting Effects of a-synuclein and y-synuclein on the Phenotype of Cysteine String Protein alpha (CSPa) Null Mutant Mice Suggest Distinct Function of these Proteins in Neuronal Synapses
88,TRUE,False,PMC3436574,,10.1074/jbc.M112.381541,Structural Requirements for Recognition of Major Histocompatibility Complex Class II by Membrane-associated RING-CH (MARCH) Protein E3 Ligases
89,TRUE,False,PMC3516716,,10.1074/jbc.M112.405407,"Novel keto-phospholipids are generated by monocytes and macrophages. Detected in Cystic Fibrosis, and activate peroxisome proliferator-activated receptor-? (Manuscript #M405409)"
93,TRUE,False,PMC3581394,,10.1074/jbc.M112.423012,Immobilization of Heparan Sulfate on Electrospun Meshes to Support Embryonic Stem Cell Culture and Differentiation
94,TRUE,False,PMC2757965,,10.1074/jbc.M109.030338,Mechanisms of activity-dependent plasticity in cellular nitric oxide-cGMP signaling
95,TRUE,False,PMC2962504,,10.1074/jbc.M110.154443,Structural and Functional Investigations of Matrilin-1 A-domains Reveal Insights into Their Role in Cartilage ECM Assembly
96,TRUE,False,PMC3268392,,10.1074/jbc.M111.306563,Photoaffinity labelling of high affinity nicotinic acid adenine dinucleotide 2'-phosphate (NAADP) proteins in sea urchin egg
97,TRUE,False,PMC3554938,,10.1074/jbc.M112.422238,Deubiquitinases regulate the activity of caspase-1 and IL-1β secretion via assembly of the inflammasome
98,TRUE,False,PMC3234717,,10.1074/jbc.M111.272419,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant
99,TRUE,False,PMC3591638,,10.1074/jbc.M112.428854,Molecular Basis for Jagged-1 Serrate
101,TRUE,False,PMC3234811,,10.1074/jbc.M111.289777,Picomolar nitric oxide signals from central neurons recorded using ultrasensitive detector cells
105,TRUE,False,PMC3597819,,10.1074/jbc.M112.437996,Structural Basis for Cul3 Protein Assembly with the BTB-Kelch Family of E3 Ubiquitin Ligases
106,TRUE,False,PMC3431625,,10.1074/jbc.M111.331157,Opticin Exerts Its Anti-Angiogenic Activity by Regulating Extracellular Matrix Adhesiveness
107,TRUE,False,PMC3488092,,10.1074/jbc.M112.402289,Solution NMR Structure of the Ca2+- Bound N-Terminal Domain of Calcium Binding Protein 7 (CaBP7): A regulator of Golgi trafficking
108,TRUE,False,PMC3308871,,10.1074/jbc.M111.283689,Structural and evolutionary basis for the dual substrate selectivity of human KDM4 histone demethylase family.
109,TRUE,False,PMC3527912,,10.1074/jbc.M112.422089,Structural and functional characterisation of the kindlin-1 pleckstrin homology domain
110,TRUE,False,PMC3265891,,10.1074/jbc.M111.313015,Structural and kinetic evidence that catalytic reaction of human UDP-glucose 6-dehydrogenase involves covalent thiohemiacetal and thioester enzyme intermediates.
111,TRUE,False,PMC3234852,,10.1074/jbc.M111.270751,Inhibitory member of the apoptosis-stimulating proteins of the p53 family (iASPP) interacts with protein phosphatase 1 via a noncanonical binding motif.
113,TRUE,False,PMC3591641,,10.1074/jbc.M112.447524,Expanding the repertoire of amyloiod polymorphs by co-polymerization of related protein precursors
114,TRUE,False,PMC2952269,,10.1074/jbc.M110.128256,SSS1p is required to complete protein translocon activation
115,TRUE,False,PMC3121340,,10.1074/jbc.M111.219568,Preferential Targeting of a Signal Recognition Particle-dependent Precursor
140,TRUE,False,PMC3173209,,10.1074/jbc.M111.219212,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.

Row #,apc_2012_2013_results.csv Deluxe Compliance?,processed_apc_2012_2013.csv Deluxe Compliance?,apc_2012_2013.csv PMCID,apc_2012_2013.csv PMID,apc_2012_2013.csv DOI,apc_2012_2013.csv Article title
3,TRUE,False,PMC3724273,,10.1177/0952695112468526,The pursuit of happiness: the social and scientific origins of Hans Selye’s natural philosophy of life’
5,TRUE,False,none,,10.1126/science.1228160,"High coverage of ART associated with decline in risk of HIV acquisition in rural KwaZulu-Natal, South Africa"
6,TRUE,False,PMC3860268,,10.1126/science.1230413,Increase in adult life expectancy
7,TRUE,False,PMC3672848,,10.4049/jimmunol.1201510,Mitochondrial superoxide generation enhances P2X7R-mediated loss of cell surface CD62L on naive human CD4+ T lymphocytes.
13,TRUE,False,PMC3757918,,10.1177/0952695113484320,How autism became autism: the radical transformation of a central concept of child development in Britain
24,FALSE,True,none,,10.1017/S0001972013000442,"Stuck in ruins, or up and coming?"
25,FALSE,True,none,,10.1017/S0001972013000454,"Pharmacy, money and public health in Dakar."
27,TRUE,False,PMC3948080,23158229,10.1017/S1355617712000768,Effects of Maternal Worm Infections and Anthelminthic Treatment during Pregnancy on Infant Motor and Neurocognitive Functioning
30,FALSE,True,none,20146481,10.1021/jm901827x,Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives
48,TRUE,False,PMC3536734,,10.4161/chan.22153,State-independent intracellular access of quatemary ammonium blockers to the pore of TREK-1
52,TRUE,False,PMC3633361,,10.1093/alcalc/agt006,Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems
75,TRUE,False,PMC3397896,,10.1074/jbc.M112.377101,Annexin A1 Interaction with the FPR2/ALX Receptor
77,TRUE,False,PMC3137072,,10.1074/jbc.M111.242263,"Characterisation of GAS2-like 3, a new microtubule and actin-binding protein related to spectraplakins"
78,TRUE,False,PMC3522295,,10.1074/jbc.M112.386938,Constitutional mutations in RTEL1 cause severe dyskeratosis congenita
80,TRUE,False,PMC3581401,,10.1074/jbc.M112.416347,Molecular Architecture of a Complex between an Adhesion Protein from the Malaria Parasite and Intracellular Adhesion Molecule 1
84,TRUE,False,PMC3561585,,10.1074/jbc.M112.415372,Distinct roles in autophagy and importance in infectivity of the two ATG4 cysteine peptidases of Leishmania major
86,TRUE,False,PMC3493908,,10.1074/jbc.M112.373969,Dynamic exchange of myosin VI on endocytic structures
87,TRUE,False,PMC3531760,,10.1074/jbc.M112.422402,Contrasting Effects of a-synuclein and y-synuclein on the Phenotype of Cysteine String Protein alpha (CSPa) Null Mutant Mice Suggest Distinct Function of these Proteins in Neuronal Synapses
88,TRUE,False,PMC3436574,,10.1074/jbc.M112.381541,Structural Requirements for Recognition of Major Histocompatibility Complex Class II by Membrane-associated RING-CH (MARCH) Protein E3 Ligases
89,TRUE,False,PMC3516716,,10.1074/jbc.M112.405407,"Novel keto-phospholipids are generated by monocytes and macrophages. Detected in Cystic Fibrosis, and activate peroxisome proliferator-activated receptor-? (Manuscript #M405409)"
93,TRUE,False,PMC3581394,,10.1074/jbc.M112.423012,Immobilization of Heparan Sulfate on Electrospun Meshes to Support Embryonic Stem Cell Culture and Differentiation
94,TRUE,False,PMC2757965,,10.1074/jbc.M109.030338,Mechanisms of activity-dependent plasticity in cellular nitric oxide-cGMP signaling
95,TRUE,False,PMC2962504,,10.1074/jbc.M110.154443,Structural and Functional Investigations of Matrilin-1 A-domains Reveal Insights into Their Role in Cartilage ECM Assembly
96,TRUE,False,PMC3268392,,10.1074/jbc.M111.306563,Photoaffinity labelling of high affinity nicotinic acid adenine dinucleotide 2'-phosphate (NAADP) proteins in sea urchin egg
97,TRUE,False,PMC3554938,,10.1074/jbc.M112.422238,Deubiquitinases regulate the activity of caspase-1 and IL-1β secretion via assembly of the inflammasome
98,TRUE,False,PMC3234717,,10.1074/jbc.M111.272419,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant
99,TRUE,False,PMC3591638,,10.1074/jbc.M112.428854,Molecular Basis for Jagged-1 Serrate
101,TRUE,False,PMC3234811,,10.1074/jbc.M111.289777,Picomolar nitric oxide signals from central neurons recorded using ultrasensitive detector cells
105,TRUE,False,PMC3597819,,10.1074/jbc.M112.437996,Structural Basis for Cul3 Protein Assembly with the BTB-Kelch Family of E3 Ubiquitin Ligases
106,TRUE,False,PMC3431625,,10.1074/jbc.M111.331157,Opticin Exerts Its Anti-Angiogenic Activity by Regulating Extracellular Matrix Adhesiveness
107,TRUE,False,PMC3488092,,10.1074/jbc.M112.402289,Solution NMR Structure of the Ca2+- Bound N-Terminal Domain of Calcium Binding Protein 7 (CaBP7): A regulator of Golgi trafficking
108,TRUE,False,PMC3308871,,10.1074/jbc.M111.283689,Structural and evolutionary basis for the dual substrate selectivity of human KDM4 histone demethylase family.
109,TRUE,False,PMC3527912,,10.1074/jbc.M112.422089,Structural and functional characterisation of the kindlin-1 pleckstrin homology domain
110,TRUE,False,PMC3265891,,10.1074/jbc.M111.313015,Structural and kinetic evidence that catalytic reaction of human UDP-glucose 6-dehydrogenase involves covalent thiohemiacetal and thioester enzyme intermediates.
111,TRUE,False,PMC3234852,,10.1074/jbc.M111.270751,Inhibitory member of the apoptosis-stimulating proteins of the p53 family (iASPP) interacts with protein phosphatase 1 via a noncanonical binding motif.
113,TRUE,False,PMC3591641,,10.1074/jbc.M112.447524,Expanding the repertoire of amyloiod polymorphs by co-polymerization of related protein precursors
114,TRUE,False,PMC2952269,,10.1074/jbc.M110.128256,SSS1p is required to complete protein translocon activation
115,TRUE,False,PMC3121340,,10.1074/jbc.M111.219568,Preferential Targeting of a Signal Recognition Particle-dependent Precursor
140,TRUE,False,PMC3173209,,10.1074/jbc.M111.219212,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.

